# This file provides information to map coordinates from the BDGP release 5
# to release 6 assemblies.  The mapping is based on reciprocal best hit
# alignments.  Because of this some regions of release 5 that due to assembly
# artifacts are present in duplicate in other regions are absent from the
# mapping if the other region is contained in a better alignment.
#
# Coordinates in this file are represented as interbase for both releases.
# If you want on base (1-based) coordinates add 1 to each _start column.
#
# If the R6 strand is '-' it means that the R5 sequence needs to be reverse
# complemented to correspond to the R6 sequence and the start end coordinates
# for oriented features must also be reversed  eg. a gene that started at
# interbase coordinate 236880 of 2LHet in release 5 would start on the opposite
# strand at coordinate 1865892 of Y in release 6.
#
# r5_scaffold	r5_start	r5_end	r6_scaffold	r6_start	r6_end	r6_strand
2LHet	234206	234774	Y	1867989	1868557	-
2LHet	234110	234205	Y	1868557	1868652	-
2LHet	233942	234108	Y	1868652	1868818	-
2LHet	233690	233928	Y	1868818	1869056	-
2LHet	233573	233678	Y	1869056	1869161	-
2LHet	233432	233571	Y	1869161	1869300	-
2LHet	233411	233432	Y	1869301	1869322	-
2LHet	233389	233410	Y	1869322	1869343	-
2LHet	233382	233386	Y	1869343	1869347	-
2LHet	233185	233368	Y	1869347	1869530	-
2LHet	233169	233170	Y	1869530	1869531	-
2LHet	233166	233167	Y	1869531	1869532	-
2LHet	233153	233155	Y	1869532	1869534	-
2LHet	232706	233148	Y	1869534	1869976	-
2LHet	232614	232673	Y	1869976	1870035	-
2LHet	232431	232614	Y	1870036	1870219	-
2R	2559	2581	3R	705083	705105	+
2R	0	2434	2R	4112495	4114929	+
2R	3035	16668212	2R	4115530	20780707	+
2R	16668313	18708925	2R	20780808	22821420	+
2R	18708943	21146708	2R	22821420	25259185	+
2RHet	2610187	2610237	X	23319102	23319152	+
2RHet	2610239	2610283	X	23319152	23319196	+
2RHet	2610422	2610594	X	23319335	23319507	+
2RHet	2610607	2610841	X	23319507	23319741	+
2RHet	2561412	2561649	3R	371495	371732	-
2RHet	2560262	2561412	3R	371736	372886	-
2RHet	2558685	2560262	3R	372887	374464	-
2RHet	2326631	2326751	3R	2453206	2453326	-
2RHet	2326565	2326630	3R	2453326	2453391	-
2RHet	2326560	2326564	3R	2453391	2453395	-
2RHet	2326519	2326522	3R	2453395	2453398	-
2RHet	2326424	2326517	3R	2453398	2453491	-
2RHet	2326309	2326424	3R	2453492	2453607	-
2RHet	2326289	2326305	3R	2453607	2453623	-
2RHet	2326176	2326289	3R	2453624	2453737	-
2RHet	2326168	2326176	3R	2453738	2453746	-
2RHet	2326149	2326168	3R	2453747	2453766	-
2RHet	2326043	2326149	3R	2453795	2453901	-
2RHet	2325632	2325662	3R	2453901	2453931	-
2RHet	2325623	2325632	3R	2453936	2453945	-
2RHet	2325615	2325623	3R	2453956	2453964	-
2RHet	2325612	2325615	3R	2453967	2453970	-
2RHet	2325560	2325612	3R	2453979	2454031	-
2RHet	2325439	2325557	3R	2454031	2454149	-
2RHet	2325396	2325438	3R	2454149	2454191	-
2RHet	2325393	2325394	3R	2454191	2454192	-
2RHet	2325355	2325392	3R	2454192	2454229	-
2RHet	2325340	2325355	3R	2454231	2454246	-
2RHet	2325308	2325339	3R	2454246	2454277	-
2RHet	2325302	2325308	3R	2454278	2454284	-
2RHet	2325252	2325301	3R	2454284	2454333	-
2RHet	2325169	2325252	3R	2454334	2454417	-
2RHet	2325086	2325160	3R	2454417	2454491	-
2RHet	2324862	2325086	3R	2454492	2454716	-
2RHet	2324746	2324833	3R	2454716	2454803	-
2RHet	2324737	2324746	3R	2454807	2454816	-
2RHet	2324608	2324736	3R	2454816	2454944	-
2RHet	2324479	2324608	3R	2454948	2455077	-
2RHet	3032121	3032122	3R	2440568	2440569	-
2RHet	3032102	3032118	3R	2440569	2440585	-
2RHet	3031724	3032091	3R	2440585	2440952	-
2RHet	3034035	3096029	3L	27636073	27698067	-
2RHet	3033391	3034029	3L	27698067	27698705	-
2RHet	3032122	3033388	3L	27698705	27699971	-
2RHet	3030435	3031665	3L	27701836	27703066	-
2RHet	3025545	3030434	3L	27703066	27707955	-
2RHet	2988027	3025544	3L	27707955	27745472	-
2RHet	2988021	2988022	3L	27745472	27745473	-
2RHet	2982629	2988020	3L	27745473	27750864	-
2RHet	2979491	2982628	3L	27750864	27754001	-
2RHet	2871739	2938696	3L	27821332	27888289	-
2RHet	2863639	2864953	3L	27890356	27891670	-
2RHet	2863479	2863638	3L	27891670	27891829	-
2RHet	2863411	2863478	3L	27891829	27891896	-
2RHet	2863343	2863410	3L	27891896	27891963	-
2RHet	2831648	2863342	3L	27891963	27923657	-
2RHet	2830208	2830300	3L	27925005	27925097	-
2RHet	2829912	2830208	3L	27925098	27925394	-
2RHet	2828136	2829912	3L	27925396	27927172	-
2RHet	2827102	2828121	3L	27927172	27928191	-
2RHet	2826173	2827084	3L	27928191	27929102	-
2RHet	2826159	2826173	3L	27958289	27958303	-
2RHet	2826102	2826159	3L	27962289	27962346	-
2RHet	2824957	2826102	3L	27962348	27963493	-
2RHet	2762582	2824957	3L	27963494	28025869	-
2RHet	2761983	2762582	3L	28050221	28050820	-
2RHet	2610942	2649138	3L	28072030	28110226	-
2RHet	2649138	2649139	3L	26401067	26401068	+
2RHet	2649147	2649468	3L	26401076	26401397	+
2RHet	2649471	2649475	3L	26401400	26401404	+
2RHet	2649477	2649753	3L	26401406	26401682	+
2RHet	2649753	2649860	3L	26401684	26401791	+
2RHet	2649866	2650526	3L	26401791	26402451	+
2RHet	2650526	2651015	3L	26402462	26402951	+
2RHet	2651015	2651431	3L	26402952	26403368	+
2RHet	2651437	2651542	3L	26403368	26403473	+
2RHet	2651546	2651632	3L	26403473	26403559	+
2RHet	2651632	2651982	3L	26403561	26403911	+
2RHet	2866816	2867642	3L	27889042	27889868	+
2RHet	2867643	2868131	3L	27889868	27890356	+
2RHet	2831154	2831648	3L	27952837	27953331	-
2RHet	2830758	2831120	3L	27953331	27953693	-
2RHet	2830300	2830758	3L	27953704	27954162	-
2RHet	2404145	2404308	Y	3603664	3603827	-
2RHet	2404144	2404145	Y	3603828	3603829	-
2RHet	2404139	2404144	Y	3603830	3603835	-
2RHet	2404135	2404139	Y	3603836	3603840	-
2RHet	2403833	2404134	Y	3603840	3604141	-
2RHet	2403828	2403829	Y	3604141	3604142	-
2RHet	2403741	2403820	Y	3604142	3604221	-
2RHet	2403720	2403726	Y	3604221	3604227	-
2RHet	2403383	2403706	Y	3604227	3604550	-
2RHet	2403371	2403382	Y	3604550	3604561	-
2RHet	2403266	2403367	Y	3604561	3604662	-
2RHet	2402237	2403259	Y	3604662	3605684	-
2RHet	2402096	2402228	Y	3605684	3605816	-
2RHet	2402057	2402095	Y	3605816	3605854	-
2RHet	2401866	2402057	Y	3605869	3606060	-
2RHet	2401371	2401860	Y	3606060	3606549	-
2RHet	0	593	2R	870395	870988	+
2RHet	593	626	2R	873878	873911	+
2RHet	626	252652	2R	873912	1125938	+
2RHet	292453	598983	2R	1165820	1472350	+
2RHet	599084	765682	2R	1856014	2022612	+
2RHet	765682	765683	2R	2022616	2022617	+
2RHet	765683	765859	2R	2022618	2022794	+
2RHet	765859	774463	2R	2022795	2031399	+
2RHet	774463	775712	2R	2031400	2032649	+
2RHet	775712	806906	2R	2032653	2063847	+
2RHet	806907	855592	2R	2063847	2112532	+
2RHet	855592	912339	2R	2112533	2169280	+
2RHet	912339	912398	2R	2169282	2169341	+
2RHet	912399	961794	2R	2169341	2218736	+
2RHet	961795	962281	2R	2218736	2219222	+
2RHet	962282	962773	2R	2219222	2219713	+
2RHet	962773	967520	2R	2219722	2224469	+
2RHet	967521	971305	2R	2224469	2228253	+
2RHet	971306	971312	2R	2228253	2228259	+
2RHet	971312	971376	2R	2228265	2228329	+
2RHet	971402	971580	2R	2228329	2228507	+
2RHet	971606	971611	2R	2228507	2228512	+
2RHet	971614	1014541	2R	2228512	2271439	+
2RHet	1070088	1071025	2R	2284468	2285405	+
2RHet	1071025	1101130	2R	2298304	2328409	+
2RHet	1101130	1122211	2R	2328410	2349491	+
2RHet	1122211	1128983	2R	2354791	2361563	+
2RHet	1129014	1129017	2R	2361563	2361566	+
2RHet	1129018	1142870	2R	2361566	2375418	+
2RHet	1142870	1145541	2R	2375419	2378090	+
2RHet	1145541	1158887	2R	2378093	2391439	+
2RHet	1254888	1260021	2R	2484225	2489358	+
2RHet	1262601	1395709	2R	2491938	2625046	+
2RHet	1395710	1478026	2R	2625046	2707362	+
2RHet	1478028	1478204	2R	2707362	2707538	+
2RHet	1484426	1493122	2R	2707538	2716234	+
2RHet	1537210	1544198	2R	2762205	2769193	+
2RHet	1544199	1581320	2R	2769193	2806314	+
2RHet	1581320	1601969	2R	2806315	2826964	+
2RHet	1601970	1603576	2R	2826964	2828570	+
2RHet	1603577	1603580	2R	2828570	2828573	+
2RHet	1603580	1605458	2R	2828574	2830452	+
2RHet	1605458	1605463	2R	2830454	2830459	+
2RHet	1605464	1609846	2R	2830459	2834841	+
2RHet	1609846	1609972	2R	2834854	2834980	+
2RHet	1609972	1609975	2R	2834985	2834988	+
2RHet	1609975	1610178	2R	2834998	2835201	+
2RHet	1610178	1665430	2R	2835212	2890464	+
2RHet	1665433	1780262	2R	2890464	3005293	+
2RHet	1789267	1837999	2R	3006206	3054938	+
2RHet	1838000	1997663	2R	3054938	3214601	+
2RHet	1997664	2000899	2R	3214601	3217836	+
2RHet	2000900	2000922	2R	3217836	3217858	+
2RHet	2000923	2000980	2R	3217858	3217915	+
2RHet	2000981	2000991	2R	3217915	3217925	+
2RHet	2000992	2001025	2R	3217925	3217958	+
2RHet	2001026	2001034	2R	3217958	3217966	+
2RHet	2001035	2001069	2R	3217966	3218000	+
2RHet	2001070	2001076	2R	3218000	3218006	+
2RHet	2001077	2001092	2R	3218006	3218021	+
2RHet	2001093	2001096	2R	3218021	3218024	+
2RHet	2001096	2001105	2R	3218025	3218034	+
2RHet	2001106	2001128	2R	3218034	3218056	+
2RHet	2001129	2001165	2R	3218056	3218092	+
2RHet	2001166	2001205	2R	3218092	3218131	+
2RHet	2001206	2001232	2R	3218131	3218157	+
2RHet	2001232	2001234	2R	3218158	3218160	+
2RHet	2001235	2001259	2R	3218160	3218184	+
2RHet	2001259	2001261	2R	3218185	3218187	+
2RHet	2001262	2003298	2R	3218187	3220223	+
2RHet	2003298	2003308	2R	3220224	3220234	+
2RHet	2035310	2036919	2R	3253133	3254742	+
2RHet	2036978	2094187	2R	3254801	3312010	+
2RHet	2126188	2159897	2R	3332613	3366322	+
2RHet	2159898	2163637	2R	3366322	3370061	+
2RHet	2163639	2163640	2R	3370061	3370062	+
2RHet	2163643	2165648	2R	3370062	3372067	+
2RHet	2165653	2166272	2R	3372067	3372686	+
2RHet	2166272	2172828	2R	3372717	3379273	+
2RHet	2224971	2225252	2R	3422069	3422350	+
2RHet	2225252	2225342	2R	3428837	3428927	+
2RHet	2225342	2226915	2R	3428955	3430528	+
2RHet	2226982	2227814	2R	3436959	3437791	+
2RHet	2227814	2228056	2R	3437803	3438045	+
2RHet	2228056	2228488	2R	3444398	3444830	+
2RHet	2228488	2228594	2R	3444848	3444954	+
2RHet	2228616	2229011	2R	3444954	3445349	+
2RHet	2229011	2229520	2R	3445358	3445867	+
2RHet	2229523	2231092	2R	3445870	3447439	+
2RHet	2231099	2231102	2R	3447439	3447442	+
2RHet	2231106	2244728	2R	3447442	3461064	+
2RHet	2244730	2277233	2R	3461064	3493567	+
2RHet	2277234	2292562	2R	3493567	3508895	+
2RHet	2294938	2295328	2R	3512813	3513203	+
2RHet	2305986	2306065	2R	3513851	3513930	+
2RHet	2306068	2306070	2R	3513930	3513932	+
2RHet	2306087	2306090	2R	3513932	3513935	+
2RHet	2306099	2306859	2R	3513935	3514695	+
2RHet	2306859	2312035	2R	3514696	3519872	+
2RHet	2312035	2312110	2R	3519873	3519948	+
2RHet	2312110	2312116	2R	3519949	3519955	+
2RHet	2312116	2312122	2R	3519956	3519962	+
2RHet	2312122	2321493	2R	3519963	3529334	+
2RHet	2330313	2330427	2R	3532555	3532669	+
2RHet	2330427	2393669	2R	3532670	3595912	+
2RHet	2393671	2393675	2R	3595912	3595916	+
2RHet	2393681	2393738	2R	3595916	3595973	+
2RHet	2393762	2393771	2R	3595973	3595982	+
2RHet	2393771	2393776	2R	3595983	3595988	+
2RHet	2393777	2393855	2R	3595988	3596066	+
2RHet	2393855	2394013	2R	3596068	3596226	+
2RHet	2394014	2394503	2R	3596226	3596715	+
2RHet	2394507	2394663	2R	3596715	3596871	+
2RHet	2394663	2398445	2R	3596872	3600654	+
2RHet	2398445	2399088	2R	3600661	3601304	+
2RHet	2405679	2421678	2R	3601304	3617303	+
2RHet	2421779	2422428	2R	3623281	3623930	+
2RHet	2422428	2423997	2R	3623931	3625500	+
2RHet	2432458	2434944	2R	3625610	3628096	+
2RHet	2434945	2434974	2R	3628096	3628125	+
2RHet	2434975	2434984	2R	3628125	3628134	+
2RHet	2434985	2435020	2R	3628134	3628169	+
2RHet	2435021	2439893	2R	3628169	3633041	+
2RHet	2439893	2439914	2R	3633042	3633063	+
2RHet	2439915	2439929	2R	3633063	3633077	+
2RHet	2439930	2456946	2R	3633077	3650093	+
2RHet	2456946	2456949	2R	3650094	3650097	+
2RHet	2456950	2458684	2R	3650097	3651831	+
2RHet	2566650	2569596	2R	3668407	3671353	+
2RHet	2571997	2572285	2R	3690468	3690756	+
2RHet	2572286	2573957	2R	3690756	3692427	+
2RHet	2573958	2589977	2R	3692427	3708446	+
2RHet	2589977	2590051	2R	3708447	3708521	+
2RHet	2590051	2599602	2R	3708522	3718073	+
2RHet	2608261	2609432	2R	3741453	3742624	+
2RHet	2609432	2610085	2R	3742625	3743278	+
2RHet	2610085	2610187	2R	3743279	3743381	+
2RHet	3096130	3179960	2R	3859972	3943802	+
2RHet	3179960	3180398	2R	3947973	3948411	+
2RHet	3180398	3180931	2R	3948412	3948945	+
2RHet	3180938	3181669	2R	3948945	3949676	+
2RHet	3181671	3182959	2R	3949676	3950964	+
2RHet	3182959	3249114	2R	3997694	4063849	+
2RHet	3251115	3257638	2R	4077280	4083803	+
2RHet	3257638	3259232	2R	4083804	4085398	+
2RHet	3259232	3271750	2R	4085399	4097917	+
2RHet	3271750	3286327	2R	4097918	4112495	+
2RHet	2218412	2218559	2R	3379279	3379426	-
2RHet	2218283	2218412	2R	3379431	3379560	-
2RHet	2218282	2218283	2R	3379564	3379565	-
2RHet	2218240	2218282	2R	3379572	3379614	-
2RHet	2210923	2218237	2R	3379614	3386928	-
2RHet	2196780	2210923	2R	3386929	3401072	-
2RHet	2193669	2196779	2R	3401072	3404182	-
2RHet	2193400	2193669	2R	3404190	3404459	-
2RHet	2184430	2187049	2R	3407788	3410407	-
2RHet	2183208	2184430	2R	3410408	3411630	-
2RHet	2182202	2183208	2R	3411632	3412638	-
2RHet	2181678	2182202	2R	3412656	3413180	-
2RHet	2181311	2181678	2R	3413189	3413556	-
2RHet	2181195	2181311	2R	3413578	3413694	-
2RHet	2181192	2181194	2R	3413694	3413696	-
2RHet	2181186	2181191	2R	3413696	3413701	-
2RHet	2181177	2181185	2R	3413701	3413709	-
2RHet	2181171	2181177	2R	3413710	3413716	-
2RHet	2181165	2181170	2R	3413716	3413721	-
2RHet	2181159	2181165	2R	3413722	3413728	-
2RHet	2181151	2181158	2R	3413728	3413735	-
2RHet	2181144	2181151	2R	3413736	3413743	-
2RHet	2180716	2181143	2R	3413743	3414170	-
2RHet	2176748	2179328	2R	3415558	3418138	-
2RHet	2174357	2176748	2R	3418139	3420530	-
2RHet	2174157	2174356	2R	3420530	3420729	-
2RHet	2173574	2174156	2R	3420729	3421311	-
2RHet	2173111	2173574	2R	3421312	3421775	-
2RHet	2173110	2173111	2R	3421782	3421783	-
2RHet	2172828	2173110	2R	3421787	3422069	-
2RHet	2192417	2192426	2R	3431569	3431578	-
2RHet	2191869	2192380	2R	3431615	3432126	-
2RHet	2191451	2191847	2R	3432126	3432522	-
2RHet	2191084	2191451	2R	3432531	3432898	-
2RHet	2190968	2191084	2R	3432920	3433036	-
2RHet	2190961	2190967	2R	3433036	3433042	-
2RHet	2190957	2190960	2R	3433042	3433045	-
2RHet	2190948	2190956	2R	3433045	3433053	-
2RHet	2190942	2190948	2R	3433054	3433060	-
2RHet	2190937	2190941	2R	3433060	3433064	-
2RHet	2190931	2190937	2R	3433065	3433071	-
2RHet	2190920	2190930	2R	3433071	3433081	-
2RHet	2190917	2190920	2R	3433082	3433085	-
2RHet	2190636	2190916	2R	3433085	3433365	-
2RHet	2187893	2190636	2R	3433366	3436109	-
2RHet	2187326	2187893	2R	3436123	3436690	-
2RHet	2187049	2187318	2R	3436690	3436959	-
2RHet	2180664	2180716	2R	3440010	3440062	-
2RHet	2180081	2180663	2R	3440062	3440644	-
2RHet	2179328	2180064	2R	3440644	3441380	-
2RHet	1536543	1537210	2R	3726118	3726785	-
2RHet	1536291	1536539	2R	3726785	3727033	-
2RHet	1535768	1536290	2R	3727033	3727555	-
2RHet	1535225	1535768	2R	3727579	3728122	-
2RHet	1045199	1045398	2R	2423488	2423687	-
2RHet	1039096	1045187	2R	2423699	2429790	-
2RHet	1039092	1039096	2R	2429796	2429800	-
2RHet	1038574	1039089	2R	2429800	2430315	-
2RHet	1038544	1038574	2R	2450979	2451009	-
2RHet	1069399	1069868	2R	2296677	2297146	+
2RHet	1069868	1070088	2R	2297147	2297367	+
2RHet	1260021	1262601	2R	2473932	2476512	+
2RHet	2036919	2036978	2R	3239524	3239583	+
2RHet	2226915	2226982	2R	3424063	3424130	+
2RHet	2321594	2322242	2R	3513203	3513851	+
2RHet	2610283	2610422	2R	3718201	3718340	+
2RHet	2401090	2401371	2R	3827654	3827935	-
2RHet	2400597	2401086	2R	3827935	3828424	-
2RHet	2400439	2400597	2R	3828425	3828583	-
2RHet	2400359	2400437	2R	3828583	3828661	-
2RHet	2400354	2400359	2R	3828662	3828667	-
2RHet	2400344	2400353	2R	3828667	3828676	-
2RHet	2400287	2400344	2R	3828700	3828757	-
2RHet	2400283	2400287	2R	3828763	3828767	-
2RHet	2399959	2400283	2R	3828769	3829093	-
2RHet	2399958	2399959	2R	3829096	3829097	-
2RHet	2399957	2399958	2R	3829100	3829101	-
2RHet	2399887	2399957	2R	3829105	3829175	-
2RHet	2399864	2399881	2R	3829175	3829192	-
2RHet	2399777	2399864	2R	3829254	3829341	-
2RHet	2399772	2399777	2R	3829344	3829349	-
2RHet	2399746	2399772	2R	3829355	3829381	-
2RHet	2399592	2399746	2R	3829382	3829536	-
2RHet	2399576	2399591	2R	3829536	3829551	-
2RHet	2399571	2399575	2R	3829551	3829555	-
2RHet	2192426	2193400	2R	3443424	3444398	-
2RHet	2404308	2404346	2R	3850543	3850581	-
2RHet	1045187	1045199	2R	2404994	2405006	-
3L	0	5107766	3L	0	5107766	+
3L	5107867	24523740	3L	5114767	24530640	+
3L	24523740	24532915	3L	24530641	24539816	+
3L	24532916	24543557	3L	24539816	24550457	+
3LHet	515234	515450	2L	22490549	22490765	+
3LHet	515450	515480	2L	22490766	22490796	+
3LHet	515481	515579	2L	22490796	22490894	+
3LHet	515579	515628	2L	22490895	22490944	+
3LHet	515628	516872	2L	22490963	22492207	+
3LHet	0	24011	3L	24552211	24576222	+
3LHet	151452	164250	3L	24665957	24678755	+
3LHet	164250	164695	3L	24680920	24681365	+
3LHet	164697	171596	3L	24681365	24688264	+
3LHet	171596	179588	3L	24688265	24696257	+
3LHet	179589	460841	3L	24696257	24977509	+
3LHet	460841	515234	3L	24977512	25031905	+
3LHet	516873	517862	3L	25033544	25034533	+
3LHet	517863	517907	3L	25034533	25034577	+
3LHet	531908	541965	3L	25046464	25056521	+
3LHet	541978	541980	3L	25056521	25056523	+
3LHet	541980	644091	3L	25056524	25158635	+
3LHet	644096	658849	3L	25158635	25173388	+
3LHet	658849	660677	3L	25173389	25175217	+
3LHet	660695	851354	3L	25175217	25365876	+
3LHet	851355	860246	3L	25365876	25374767	+
3LHet	862863	878373	3L	25432185	25447695	+
3LHet	878373	900250	3L	25447704	25469581	+
3LHet	900253	900426	3L	25469581	25469754	+
3LHet	900440	900481	3L	25469754	25469795	+
3LHet	900482	900625	3L	25469795	25469938	+
3LHet	900626	900656	3L	25469938	25469968	+
3LHet	900657	900765	3L	25469968	25470076	+
3LHet	900773	902980	3L	25470076	25472283	+
3LHet	902982	975318	3L	25472283	25544619	+
3LHet	975419	1455738	3L	25592720	26073039	+
3LHet	1455738	1455874	3L	26100901	26101037	+
3LHet	1455874	1456132	3L	26101080	26101338	+
3LHet	1456132	1456133	3L	26101339	26101340	+
3LHet	1456133	1456265	3L	26101344	26101476	+
3LHet	1481266	1510271	3L	26114248	26143253	+
3LHet	1510272	1510279	3L	26143253	26143260	+
3LHet	1510280	1510285	3L	26143260	26143265	+
3LHet	1510286	1510409	3L	26143265	26143388	+
3LHet	1510410	1542281	3L	26143388	26175259	+
3LHet	1542286	1542410	3L	26175259	26175383	+
3LHet	1542525	1553818	3L	26175383	26186676	+
3LHet	1553819	1553821	3L	26186676	26186678	+
3LHet	1553823	1553873	3L	26186678	26186728	+
3LHet	1553873	1568860	3L	26207331	26222318	+
3LHet	1568868	1601863	3L	26222318	26255313	+
3LHet	1602703	1602826	3L	26255313	26255436	+
3LHet	1602826	1604699	3L	26255437	26257310	+
3LHet	1604699	1613133	3L	26257339	26265773	+
3LHet	1613134	1613482	3L	26265773	26266121	+
3LHet	1613485	1613486	3L	26266121	26266122	+
3LHet	1613490	1613491	3L	26266122	26266123	+
3LHet	1613492	1621540	3L	26266123	26274171	+
3LHet	1621545	1627108	3L	26274171	26279734	+
3LHet	1627109	1627115	3L	26279734	26279740	+
3LHet	1627115	1632964	3L	26279749	26285598	+
3LHet	1632964	1668073	3L	26285609	26320718	+
3LHet	1668073	1677471	3L	26320719	26330117	+
3LHet	1677477	1735109	3L	26330117	26387749	+
3LHet	1735110	1735114	3L	26387749	26387753	+
3LHet	1735959	1804171	3L	26457377	26525589	+
3LHet	1804171	1839690	3L	26525590	26561109	+
3LHet	1839690	1839718	3L	26561110	26561138	+
3LHet	1839718	1850769	3L	26561139	26572190	+
3LHet	1863725	1908491	3L	26580266	26625032	+
3LHet	1921492	1930594	3L	26639158	26648260	+
3LHet	1930594	1936534	3L	26648262	26654202	+
3LHet	1936535	1958217	3L	26654202	26675884	+
3LHet	1958217	1960916	3L	26675885	26678584	+
3LHet	1960917	1960940	3L	26678584	26678607	+
3LHet	1960940	1960975	3L	26678608	26678643	+
3LHet	1960975	1963908	3L	26678644	26681577	+
3LHet	1963908	1965405	3L	26681578	26683075	+
3LHet	1965406	2160917	3L	26683075	26878586	+
3LHet	2160917	2161008	3L	26878601	26878692	+
3LHet	2161008	2161015	3L	26878695	26878702	+
3LHet	2161016	2161143	3L	26878702	26878829	+
3LHet	2161144	2161155	3L	26878829	26878840	+
3LHet	2161155	2161229	3L	26878841	26878915	+
